Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
RES_00012,"Frontend specialist with hands-on skills in JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications. Experienced for 3 years in computer science projects and software engineering practice.",M.Tech CSE,3,"JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications.",Frontend Developer,Technology
RES_00013,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems. Experienced for 3 years in computer science projects and software engineering practice.",B.Tech CSE,3,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems.",Software Engineer,Technology
RES_00014,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations. Experienced for 3 years in computer science projects and software engineering practice.",B.Tech ECE,3,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations.",Data Analyst,Technology
RES_00015,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification. Experienced for 5 years in computer science projects and software engineering practice.",B.Sc CS,5,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification.",Data Scientist,Technology
RES_00016,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech CSE,4,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment.",Machine Learning Engineer,Technology
RES_00017,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control. Experienced for 0 years in computer science projects and software engineering practice.",M.Tech CSE,0,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control.",DevOps / Cloud Engineer,Technology
RES_00018,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response. Experienced for 0 years in computer science projects and software engineering practice.",M.Tech CSE,0,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response.",Cybersecurity Analyst,Technology
RES_00019,"QA Engineer skilled in Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing. Experienced for 1 years in computer science projects and software engineering practice.",B.Tech CSE,1,"Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing.",QA / Automation Engineer,Technology
RES_00020,"Experienced candidate proficient in JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends. Experienced for 0 years in computer science projects and software engineering practice.",B.Tech IT,0,"JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends.",Full Stack Developer,Technology
RES_00021,"Backend engineer skilled in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services. Experienced for 2 years in computer science projects and software engineering practice.",B.Tech CSE,2,"Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services.",Backend Developer,Technology
RES_00022,"Frontend specialist with hands-on skills in JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications. Experienced for 0 years in computer science projects and software engineering practice.",M.Tech CSE,0,"JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications.",Frontend Developer,Technology
RES_00023,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems. Experienced for 1 years in computer science projects and software engineering practice.",M.Tech CSE,1,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems.",Software Engineer,Technology
RES_00024,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations. Experienced for 5 years in computer science projects and software engineering practice.",M.Tech CSE,5,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations.",Data Analyst,Technology
RES_00025,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification. Experienced for 1 years in computer science projects and software engineering practice.",B.Tech ECE,1,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification.",Data Scientist,Technology
RES_00026,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment. Experienced for 5 years in computer science projects and software engineering practice.",B.Tech IT,5,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment.",Machine Learning Engineer,Technology
RES_00027,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control. Experienced for 3 years in computer science projects and software engineering practice.",M.Tech CSE,3,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control.",DevOps / Cloud Engineer,Technology
RES_00028,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech ECE,4,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response.",Cybersecurity Analyst,Technology
RES_00029,"QA Engineer skilled in Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing. Experienced for 2 years in computer science projects and software engineering practice.",M.Tech CSE,2,"Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing.",QA / Automation Engineer,Technology
RES_00030,"Experienced candidate proficient in JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech IT,4,"JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends.",Full Stack Developer,Technology
RES_00031,"Backend engineer skilled in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services. Experienced for 2 years in computer science projects and software engineering practice.",B.Tech IT,2,"Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services.",Backend Developer,Technology
RES_00032,"Frontend specialist with hands-on skills in JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications. Experienced for 2 years in computer science projects and software engineering practice.",B.Sc CS,2,"JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications.",Frontend Developer,Technology
RES_00033,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems. Experienced for 5 years in computer science projects and software engineering practice.",B.Tech CSE,5,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems.",Software Engineer,Technology
RES_00034,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations. Experienced for 3 years in computer science projects and software engineering practice.",M.Tech CSE,3,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations.",Data Analyst,Technology
RES_00035,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification. Experienced for 2 years in computer science projects and software engineering practice.",B.Sc CS,2,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification.",Data Scientist,Technology
RES_00036,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment. Experienced for 4 years in computer science projects and software engineering practice.",M.Tech CSE,4,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment.",Machine Learning Engineer,Technology
RES_00037,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control. Experienced for 0 years in computer science projects and software engineering practice.",M.Tech CSE,0,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control.",DevOps / Cloud Engineer,Technology
RES_00038,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response. Experienced for 1 years in computer science projects and software engineering practice.",M.Tech CSE,1,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response.",Cybersecurity Analyst,Technology
RES_00039,"QA Engineer skilled in Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing. Experienced for 1 years in computer science projects and software engineering practice.",B.Sc CS,1,"Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing.",QA / Automation Engineer,Technology
RES_00040,"Experienced candidate proficient in JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends. Experienced for 0 years in computer science projects and software engineering practice.",M.Tech CSE,0,"JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends.",Full Stack Developer,Technology
RES_00041,"Backend engineer skilled in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services. Experienced for 1 years in computer science projects and software engineering practice.",M.Tech CSE,1,"Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services.",Backend Developer,Technology
RES_00042,"Frontend specialist with hands-on skills in JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications. Experienced for 2 years in computer science projects and software engineering practice.",M.Tech CSE,2,"JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications.",Frontend Developer,Technology
RES_00043,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech IT,4,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems.",Software Engineer,Technology
RES_00044,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations. Experienced for 4 years in computer science projects and software engineering practice.",M.Tech CSE,4,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations.",Data Analyst,Technology
RES_00045,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification. Experienced for 0 years in computer science projects and software engineering practice.",B.Tech CSE,0,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification.",Data Scientist,Technology
RES_00046,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech IT,4,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment.",Machine Learning Engineer,Technology
RES_00047,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control. Experienced for 2 years in computer science projects and software engineering practice.",B.Tech ECE,2,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control.",DevOps / Cloud Engineer,Technology
RES_00048,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response. Experienced for 1 years in computer science projects and software engineering practice.",B.Tech IT,1,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response.",Cybersecurity Analyst,Technology
RES_00049,"QA Engineer skilled in Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing. Experienced for 2 years in computer science projects and software engineering practice.",B.Tech IT,2,"Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing.",QA / Automation Engineer,Technology
RES_00050,"Experienced candidate proficient in JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends. Experienced for 2 years in computer science projects and software engineering practice.",B.Sc CS,2,"JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends.",Full Stack Developer,Technology
RES_00051,"Backend engineer skilled in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services. Experienced for 0 years in computer science projects and software engineering practice.",B.Tech ECE,0,"Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services.",Backend Developer,Technology
RES_00052,"Frontend specialist with hands-on skills in JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications. Experienced for 0 years in computer science projects and software engineering practice.",B.Sc CS,0,"JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications.",Frontend Developer,Technology
RES_00053,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems. Experienced for 1 years in computer science projects and software engineering practice.",B.Sc CS,1,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems.",Software Engineer,Technology
RES_00054,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech CSE,4,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations.",Data Analyst,Technology
RES_00055,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech CSE,4,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification.",Data Scientist,Technology
RES_00056,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment. Experienced for 5 years in computer science projects and software engineering practice.",B.Tech CSE,5,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment.",Machine Learning Engineer,Technology
RES_00057,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control. Experienced for 3 years in computer science projects and software engineering practice.",B.Tech ECE,3,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control.",DevOps / Cloud Engineer,Technology
RES_00058,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response. Experienced for 0 years in computer science projects and software engineering practice.",B.Tech IT,0,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response.",Cybersecurity Analyst,Technology
RES_00059,"QA Engineer skilled in Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing. Experienced for 2 years in computer science projects and software engineering practice.",B.Tech CSE,2,"Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing.",QA / Automation Engineer,Technology
RES_00060,"Experienced candidate proficient in JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends. Experienced for 5 years in computer science projects and software engineering practice.",B.Tech CSE,5,"JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends.",Full Stack Developer,Technology
RES_00061,"Backend engineer skilled in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services. Experienced for 1 years in computer science projects and software engineering practice.",M.Tech CSE,1,"Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services.",Backend Developer,Technology
RES_00062,"Frontend specialist with hands-on skills in JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications. Experienced for 4 years in computer science projects and software engineering practice.",M.Tech CSE,4,"JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications.",Frontend Developer,Technology
RES_00063,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems. Experienced for 0 years in computer science projects and software engineering practice.",B.Sc CS,0,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems.",Software Engineer,Technology
RES_00064,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations. Experienced for 4 years in computer science projects and software engineering practice.",M.Tech CSE,4,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations.",Data Analyst,Technology
RES_00065,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification. Experienced for 2 years in computer science projects and software engineering practice.",B.Tech IT,2,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification.",Data Scientist,Technology
RES_00066,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment. Experienced for 4 years in computer science projects and software engineering practice.",B.Sc CS,4,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment.",Machine Learning Engineer,Technology
RES_00067,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control. Experienced for 3 years in computer science projects and software engineering practice.",M.Tech CSE,3,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control.",DevOps / Cloud Engineer,Technology
RES_00068,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response. Experienced for 3 years in computer science projects and software engineering practice.",B.Tech IT,3,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response.",Cybersecurity Analyst,Technology
RES_00069,"QA Engineer skilled in Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing. Experienced for 3 years in computer science projects and software engineering practice.",B.Sc CS,3,"Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing.",QA / Automation Engineer,Technology
RES_00070,"Experienced candidate proficient in JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends. Experienced for 5 years in computer science projects and software engineering practice.",B.Tech CSE,5,"JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends.",Full Stack Developer,Technology
RES_00071,"Backend engineer skilled in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services. Experienced for 1 years in computer science projects and software engineering practice.",B.Sc CS,1,"Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services.",Backend Developer,Technology
RES_00072,"Frontend specialist with hands-on skills in JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications. Experienced for 1 years in computer science projects and software engineering practice.",M.Tech CSE,1,"JavaScript, TypeScript, React, HTML, CSS, Figma, and Webpack. Built interactive single-page web applications.",Frontend Developer,Technology
RES_00073,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems. Experienced for 1 years in computer science projects and software engineering practice.",B.Tech ECE,1,"Software engineer with solid foundation in DSA, C++, Java, Python, SQL, and Git. Solved complex algorithmic problems and built desktop/mobile backend systems.",Software Engineer,Technology
RES_00074,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations. Experienced for 4 years in computer science projects and software engineering practice.",B.Sc CS,4,"Data analyst with expertise in Python, SQL, Statistics, Power BI, Pandas, NumPy, and Excel. Analyzed business intelligence reports and created dashboard visualisations.",Data Analyst,Technology
RES_00075,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification. Experienced for 3 years in computer science projects and software engineering practice.",B.Tech IT,3,"Data scientist experienced in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, and data pipelines. Developed predictive models for classification.",Data Scientist,Technology
RES_00076,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment. Experienced for 2 years in computer science projects and software engineering practice.",B.Tech CSE,2,"Machine Learning Engineer with deep knowledge of Python, TensorFlow, Scikit-learn, Machine Learning, MLOps, Docker, AWS, and model deployment.",Machine Learning Engineer,Technology
RES_00077,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control. Experienced for 1 years in computer science projects and software engineering practice.",B.Tech ECE,1,"DevOps Cloud Engineer experienced in Linux, Docker, Kubernetes, AWS, CI/CD pipelines, Terraform, Python, and Git version control.",DevOps / Cloud Engineer,Technology
RES_00078,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response. Experienced for 0 years in computer science projects and software engineering practice.",B.Tech CSE,0,"Security analyst experienced in Linux, Python, network security, penetration testing, firewall configuration, and incident response.",Cybersecurity Analyst,Technology
RES_00079,"QA Engineer skilled in Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing. Experienced for 1 years in computer science projects and software engineering practice.",B.Sc CS,1,"Python, JavaScript, Selenium, automated testing framework, CI/CD, Git, and REST API testing.",QA / Automation Engineer,Technology
RES_00080,"Experienced candidate proficient in JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends. Experienced for 4 years in computer science projects and software engineering practice.",B.Tech CSE,4,"JavaScript, React, Node.js, Express.js, SQL, REST APIs, HTML, CSS, and Git. Built full-stack web applications with responsive design and database backends.",Full Stack Developer,Technology
RES_00081,"Backend engineer skilled in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services. Experienced for 3 years in computer science projects and software engineering practice.",B.Tech ECE,3,"Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, and Docker. Designed microservices and scalable RESTful backend services.",Backend Developer,Technology
