job_id,category,job_title,job_description,job_skill_set
JOB_0037,Infrastructure,DevOps / Cloud Engineer,"Manage cloud infrastructure, CI/CD pipelines, containerized applications and server reliability. Looking for passionate candidate with strong skills in Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git.","Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git"
JOB_0038,Security,Cybersecurity Analyst,"Monitor network security, perform vulnerability audits, and implement threat defenses. Looking for passionate candidate with strong skills in Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing.","Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing"
JOB_0039,Engineering,QA / Automation Engineer,"Design automated test suites, integration tests, and ensure application quality. Looking for passionate candidate with strong skills in QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git.","QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git"
JOB_0040,Engineering,Software Engineer,"Build scalable software applications, core APIs, and system components. Looking for passionate candidate with strong skills in Java, C++, Python, Data Structures, Algorithms, SQL, Git.","Java, C++, Python, Data Structures, Algorithms, SQL, Git"
JOB_0041,Engineering,Full Stack Developer,"Develop end-to-end web applications using modern frontend frameworks and backend servers. Looking for passionate candidate with strong skills in JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs.","JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs"
JOB_0042,Engineering,Frontend Developer,"Create responsive, accessible user interfaces and interactive frontend experiences. Looking for passionate candidate with strong skills in JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack.","JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack"
JOB_0043,Engineering,Backend Developer,"Architect backend microservices, database schemas, and RESTful API endpoints. Looking for passionate candidate with strong skills in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker.","Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker"
JOB_0044,Data,Data Analyst,"Analyze complex business datasets, create visualizations, and report key business metrics. Looking for passionate candidate with strong skills in Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication.","Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication"
JOB_0045,Data,Data Scientist,"Build predictive statistical models, machine learning algorithms, and data insights pipeline. Looking for passionate candidate with strong skills in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization.","Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization"
JOB_0046,Data,Machine Learning Engineer,"Train and deploy deep learning models, LLM applications, and ML infrastructure. Looking for passionate candidate with strong skills in Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS.","Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS"
JOB_0047,Infrastructure,DevOps / Cloud Engineer,"Manage cloud infrastructure, CI/CD pipelines, containerized applications and server reliability. Looking for passionate candidate with strong skills in Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git.","Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git"
JOB_0048,Security,Cybersecurity Analyst,"Monitor network security, perform vulnerability audits, and implement threat defenses. Looking for passionate candidate with strong skills in Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing.","Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing"
JOB_0049,Engineering,QA / Automation Engineer,"Design automated test suites, integration tests, and ensure application quality. Looking for passionate candidate with strong skills in QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git.","QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git"
JOB_0050,Engineering,Software Engineer,"Build scalable software applications, core APIs, and system components. Looking for passionate candidate with strong skills in Java, C++, Python, Data Structures, Algorithms, SQL, Git.","Java, C++, Python, Data Structures, Algorithms, SQL, Git"
JOB_0051,Engineering,Full Stack Developer,"Develop end-to-end web applications using modern frontend frameworks and backend servers. Looking for passionate candidate with strong skills in JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs.","JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs"
JOB_0052,Engineering,Frontend Developer,"Create responsive, accessible user interfaces and interactive frontend experiences. Looking for passionate candidate with strong skills in JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack.","JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack"
JOB_0053,Engineering,Backend Developer,"Architect backend microservices, database schemas, and RESTful API endpoints. Looking for passionate candidate with strong skills in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker.","Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker"
JOB_0054,Data,Data Analyst,"Analyze complex business datasets, create visualizations, and report key business metrics. Looking for passionate candidate with strong skills in Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication.","Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication"
JOB_0055,Data,Data Scientist,"Build predictive statistical models, machine learning algorithms, and data insights pipeline. Looking for passionate candidate with strong skills in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization.","Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization"
JOB_0056,Data,Machine Learning Engineer,"Train and deploy deep learning models, LLM applications, and ML infrastructure. Looking for passionate candidate with strong skills in Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS.","Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS"
JOB_0057,Infrastructure,DevOps / Cloud Engineer,"Manage cloud infrastructure, CI/CD pipelines, containerized applications and server reliability. Looking for passionate candidate with strong skills in Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git.","Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git"
JOB_0058,Security,Cybersecurity Analyst,"Monitor network security, perform vulnerability audits, and implement threat defenses. Looking for passionate candidate with strong skills in Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing.","Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing"
JOB_0059,Engineering,QA / Automation Engineer,"Design automated test suites, integration tests, and ensure application quality. Looking for passionate candidate with strong skills in QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git.","QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git"
JOB_0060,Engineering,Software Engineer,"Build scalable software applications, core APIs, and system components. Looking for passionate candidate with strong skills in Java, C++, Python, Data Structures, Algorithms, SQL, Git.","Java, C++, Python, Data Structures, Algorithms, SQL, Git"
JOB_0061,Engineering,Full Stack Developer,"Develop end-to-end web applications using modern frontend frameworks and backend servers. Looking for passionate candidate with strong skills in JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs.","JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs"
JOB_0062,Engineering,Frontend Developer,"Create responsive, accessible user interfaces and interactive frontend experiences. Looking for passionate candidate with strong skills in JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack.","JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack"
JOB_0063,Engineering,Backend Developer,"Architect backend microservices, database schemas, and RESTful API endpoints. Looking for passionate candidate with strong skills in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker.","Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker"
JOB_0064,Data,Data Analyst,"Analyze complex business datasets, create visualizations, and report key business metrics. Looking for passionate candidate with strong skills in Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication.","Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication"
JOB_0065,Data,Data Scientist,"Build predictive statistical models, machine learning algorithms, and data insights pipeline. Looking for passionate candidate with strong skills in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization.","Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization"
JOB_0066,Data,Machine Learning Engineer,"Train and deploy deep learning models, LLM applications, and ML infrastructure. Looking for passionate candidate with strong skills in Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS.","Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS"
JOB_0067,Infrastructure,DevOps / Cloud Engineer,"Manage cloud infrastructure, CI/CD pipelines, containerized applications and server reliability. Looking for passionate candidate with strong skills in Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git.","Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git"
JOB_0068,Security,Cybersecurity Analyst,"Monitor network security, perform vulnerability audits, and implement threat defenses. Looking for passionate candidate with strong skills in Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing.","Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing"
JOB_0069,Engineering,QA / Automation Engineer,"Design automated test suites, integration tests, and ensure application quality. Looking for passionate candidate with strong skills in QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git.","QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git"
JOB_0070,Engineering,Software Engineer,"Build scalable software applications, core APIs, and system components. Looking for passionate candidate with strong skills in Java, C++, Python, Data Structures, Algorithms, SQL, Git.","Java, C++, Python, Data Structures, Algorithms, SQL, Git"
JOB_0071,Engineering,Full Stack Developer,"Develop end-to-end web applications using modern frontend frameworks and backend servers. Looking for passionate candidate with strong skills in JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs.","JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs"
JOB_0072,Engineering,Frontend Developer,"Create responsive, accessible user interfaces and interactive frontend experiences. Looking for passionate candidate with strong skills in JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack.","JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack"
JOB_0073,Engineering,Backend Developer,"Architect backend microservices, database schemas, and RESTful API endpoints. Looking for passionate candidate with strong skills in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker.","Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker"
JOB_0074,Data,Data Analyst,"Analyze complex business datasets, create visualizations, and report key business metrics. Looking for passionate candidate with strong skills in Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication.","Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication"
JOB_0075,Data,Data Scientist,"Build predictive statistical models, machine learning algorithms, and data insights pipeline. Looking for passionate candidate with strong skills in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization.","Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization"
JOB_0076,Data,Machine Learning Engineer,"Train and deploy deep learning models, LLM applications, and ML infrastructure. Looking for passionate candidate with strong skills in Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS.","Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS"
JOB_0077,Infrastructure,DevOps / Cloud Engineer,"Manage cloud infrastructure, CI/CD pipelines, containerized applications and server reliability. Looking for passionate candidate with strong skills in Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git.","Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git"
JOB_0078,Security,Cybersecurity Analyst,"Monitor network security, perform vulnerability audits, and implement threat defenses. Looking for passionate candidate with strong skills in Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing.","Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing"
JOB_0079,Engineering,QA / Automation Engineer,"Design automated test suites, integration tests, and ensure application quality. Looking for passionate candidate with strong skills in QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git.","QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git"
JOB_0080,Engineering,Software Engineer,"Build scalable software applications, core APIs, and system components. Looking for passionate candidate with strong skills in Java, C++, Python, Data Structures, Algorithms, SQL, Git.","Java, C++, Python, Data Structures, Algorithms, SQL, Git"
JOB_0081,Engineering,Full Stack Developer,"Develop end-to-end web applications using modern frontend frameworks and backend servers. Looking for passionate candidate with strong skills in JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs.","JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs"
JOB_0082,Engineering,Frontend Developer,"Create responsive, accessible user interfaces and interactive frontend experiences. Looking for passionate candidate with strong skills in JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack.","JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack"
JOB_0083,Engineering,Backend Developer,"Architect backend microservices, database schemas, and RESTful API endpoints. Looking for passionate candidate with strong skills in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker.","Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker"
JOB_0084,Data,Data Analyst,"Analyze complex business datasets, create visualizations, and report key business metrics. Looking for passionate candidate with strong skills in Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication.","Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication"
JOB_0085,Data,Data Scientist,"Build predictive statistical models, machine learning algorithms, and data insights pipeline. Looking for passionate candidate with strong skills in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization.","Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization"
JOB_0086,Data,Machine Learning Engineer,"Train and deploy deep learning models, LLM applications, and ML infrastructure. Looking for passionate candidate with strong skills in Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS.","Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS"
JOB_0087,Infrastructure,DevOps / Cloud Engineer,"Manage cloud infrastructure, CI/CD pipelines, containerized applications and server reliability. Looking for passionate candidate with strong skills in Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git.","Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git"
JOB_0088,Security,Cybersecurity Analyst,"Monitor network security, perform vulnerability audits, and implement threat defenses. Looking for passionate candidate with strong skills in Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing.","Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing"
JOB_0089,Engineering,QA / Automation Engineer,"Design automated test suites, integration tests, and ensure application quality. Looking for passionate candidate with strong skills in QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git.","QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git"
JOB_0090,Engineering,Software Engineer,"Build scalable software applications, core APIs, and system components. Looking for passionate candidate with strong skills in Java, C++, Python, Data Structures, Algorithms, SQL, Git.","Java, C++, Python, Data Structures, Algorithms, SQL, Git"
JOB_0091,Engineering,Full Stack Developer,"Develop end-to-end web applications using modern frontend frameworks and backend servers. Looking for passionate candidate with strong skills in JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs.","JavaScript, React, Node.js, Express.js, HTML, CSS, SQL, Git, REST APIs"
JOB_0092,Engineering,Frontend Developer,"Create responsive, accessible user interfaces and interactive frontend experiences. Looking for passionate candidate with strong skills in JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack.","JavaScript, TypeScript, React, HTML, CSS, Figma, Webpack"
JOB_0093,Engineering,Backend Developer,"Architect backend microservices, database schemas, and RESTful API endpoints. Looking for passionate candidate with strong skills in Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker.","Node.js, Express.js, Python, Java, SQL, MongoDB, PostgreSQL, REST APIs, Docker"
JOB_0094,Data,Data Analyst,"Analyze complex business datasets, create visualizations, and report key business metrics. Looking for passionate candidate with strong skills in Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication.","Python, SQL, Pandas, NumPy, Statistics, Power BI, Excel, Communication"
JOB_0095,Data,Data Scientist,"Build predictive statistical models, machine learning algorithms, and data insights pipeline. Looking for passionate candidate with strong skills in Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization.","Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, SQL, Data Visualization"
JOB_0096,Data,Machine Learning Engineer,"Train and deploy deep learning models, LLM applications, and ML infrastructure. Looking for passionate candidate with strong skills in Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS.","Python, TensorFlow, PyTorch, Scikit-learn, Machine Learning, MLOps, Docker, AWS"
JOB_0097,Infrastructure,DevOps / Cloud Engineer,"Manage cloud infrastructure, CI/CD pipelines, containerized applications and server reliability. Looking for passionate candidate with strong skills in Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git.","Linux, Docker, Kubernetes, AWS, CI/CD, Terraform, Python, Git"
JOB_0098,Security,Cybersecurity Analyst,"Monitor network security, perform vulnerability audits, and implement threat defenses. Looking for passionate candidate with strong skills in Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing.","Cybersecurity, Network Security, Linux, Python, Firewalls, Penetration Testing"
JOB_0099,Engineering,QA / Automation Engineer,"Design automated test suites, integration tests, and ensure application quality. Looking for passionate candidate with strong skills in QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git.","QA Automation, Selenium, Python, JavaScript, Jest, CI/CD, Git"
JOB_0100,Engineering,Software Engineer,"Build scalable software applications, core APIs, and system components. Looking for passionate candidate with strong skills in Java, C++, Python, Data Structures, Algorithms, SQL, Git.","Java, C++, Python, Data Structures, Algorithms, SQL, Git"
